车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
宝马3系,BMW,外国,2010款,320i,2L,自动,时尚型（进口）,2010/8/1,9.6,16.8,37.1,0.45,小于10万,中级轿车
宝马3系,BMW,外国,2010款,320i,2L,自动,时尚型（进口）,2010/8/1,9.6,16.8,37.1,0.45,小于10万,中级轿车
标致408,Peugeot,外国,2010款,,2L,自动,豪华版,2010/8/1,9.7,6,16.9,0.36,小于10万,中级轿车
标致408,Peugeot,外国,2010款,,2L,自动,豪华版,2010/8/1,9.7,6,16.9,0.36,小于10万,中级轿车
现代途胜,Hyundai,外国,2009款,,2L,手动,两驱时尚型,2012/12/1,9.7,9,18.4,0.49,小于10万,中级轿车
宝马5系,BMW,外国,2010款,520Li,2L,自动,领先型,2009/8/1,9.8,15.9,44.8,0.35,小于10万,中级轿车
宝马5系,BMW,外国,2010款,520Li,2L,自动,领先型,2009/8/1,9.8,15.9,44.8,0.35,小于10万,中级轿车
马自达6,Mazda,外国,2011款,6,2L,自动,时尚版,2011/10/1,9.9,8,19.5,0.41,小于10万,中级轿车
马自达6,Mazda,外国,2011款,6,2L,自动,时尚版,2011/10/1,9.9,8,19.5,0.41,小于10万,中级轿车
宝马X1,BMW,外国,2010款,X1 sDrive18i,2L,自动,豪华型(进口),2011/11/1,10.1,16.8,39.8,0.42,大于或等于10万,中级轿车
宝马X1,BMW,外国,2010款,X1 sDrive18i,2L,自动,豪华型(进口),2011/11/1,10.1,16.8,39.8,0.42,大于或等于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,LUXURY 至尊型,2012/1/1,10.1,10.7,22.1,0.48,大于或等于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,LUXURY 至尊型,2012/1/1,10.1,10.7,22.1,0.48,大于或等于10万,中级轿车
现代ix35,Hyundai,外国,2013款,,2L,自动,GLS两驱智能型,2013/7/1,10.3,13.5,21.4,0.63,大于或等于10万,中级轿车
宝马3系,BMW,外国,2010款,320i,2L,自动,豪华型(进口),2012/4/1,10.4,22,40.7,0.54,大于或等于10万,中级轿车
马自达睿翼,Mazda,外国,2012款,睿翼,2L,自动,精英版,2013/6/1,10.5,9.9,19.5,0.51,大于或等于10万,中级轿车
马自达睿翼,Mazda,外国,2012款,睿翼,2L,自动,精英版,2013/6/1,10.5,9.9,19.5,0.51,大于或等于10万,中级轿车
宝马5系,BMW,外国,2010款,520Li,2L,自动,豪华型,2010/9/1,10.6,16.84,46,0.37,大于或等于10万,中级轿车
宝马5系,BMW,外国,2010款,520Li,2L,自动,豪华型,2010/9/1,10.6,16.84,46,0.37,大于或等于10万,中级轿车
大众途安,Volkswagen,外国,2008款,途安,2L,自动,5座智雅版,2010/7/1,10.6,8,18.6,0.43,大于或等于10万,中级轿车
大众途安,Volkswagen,外国,2008款,途安,2L,自动,5座智雅版,2010/7/1,10.6,8,18.6,0.43,大于或等于10万,中级轿车
本田雅阁,Honda,外国,2010款,第八代雅阁,2L,自动,EX Navi 标准导航版,2010/8/1,10.7,9.9,24.2,0.41,大于或等于10万,中级轿车
本田雅阁,Honda,外国,2010款,第八代雅阁,2L,自动,EX Navi 标准导航版,2010/8/1,10.7,9.9,24.2,0.41,大于或等于10万,中级轿车
大众速腾,Volkswagen,外国,2009款,速腾,2L,手动,舒适真皮版,2009/3/1,10.8,5.8,17.1,0.34,大于或等于10万,中级轿车
马自达6,Mazda,外国,2011款,6,2L,自动,时尚版,2012/4/1,10.9,8.3,19.5,0.43,大于或等于10万,中级轿车
马自达6,Mazda,外国,2011款,6,2L,自动,时尚版,2012/4/1,10.9,8.3,19.5,0.43,大于或等于10万,中级轿车
马自达5,Mazda,外国,2008款,,2L,自动,豪华型（进口）,2009/8/1,11.3,7.5,19.8,0.38,大于或等于10万,中级轿车
马自达5,Mazda,外国,2008款,,2L,自动,豪华型（进口）,2009/8/1,11.3,7.5,19.8,0.38,大于或等于10万,中级轿车
丰田凯美瑞,Toyota,外国,2010款,凯美瑞,2L,自动,200G 经典版,2010/12/1,11.4,9.5,20.9,0.45,大于或等于10万,中级轿车
丰田凯美瑞,Toyota,外国,2010款,凯美瑞,2L,自动,200G经典版,2010/12/1,11.4,9.5,20.9,0.45,大于或等于10万,中级轿车
比亚迪F6,BYD,外国,2009款,,2L,手动,新财富版 GL-I 舒适型,2009/5/1,11.6,2.5,9.7,0.26,大于或等于10万,中级轿车
现代索纳塔,Hyundai,外国,2009款,领翔,2L,自动,GLS豪华型,2009/12/1,11.6,6.6,18.9,0.35,大于或等于10万,中级轿车
宝马1系,BMW,外国,2010款,120i,2L,自动,巧克力个性版(进口),2010/8/1,11.7,10.9,32.5,0.34,大于或等于10万,中级轿车
宝马1系,BMW,外国,2010款,120i,2L,自动,巧克力个性版(进口),2010/8/1,11.7,10.9,32.5,0.34,大于或等于10万,中级轿车
别克君威,Buick,外国,2009款,,2L,自动,精英版,2010/1/1,11.9,8.5,21.7,0.39,大于或等于10万,中级轿车
宝马3系,BMW,外国,2012款,320i,2L,自动,时尚型,2011/7/1,12.1,16.5,38.1,0.43,大于或等于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X 雷 两驱,2009/3/1,12.3,7.5,20.5,0.37,大于或等于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X 雷 两驱,2009/3/1,12.3,7.5,20.5,0.37,大于或等于10万,中级轿车
日产逍客,Nissan,外国,2008款,逍客,2L,无级,20X 雷 两驱,2009/2/1,12.3,8,20.5,0.39,大于或等于10万,中级轿车
日产逍客,Nissan,外国,2008款,逍客,2L,无级,20X 雷 两驱,2009/2/1,12.3,8,20.5,0.39,大于或等于10万,中级轿车
现代途胜,Hyundai,外国,2009款,,2L,手动,两驱时尚型,2010/12/1,12.6,6.9,18.4,0.38,大于或等于10万,中级轿车
宝马3系,BMW,外国,2011款,320i,2L,自动,时尚型,2012/3/1,12.6,16.8,37.4,0.45,大于或等于10万,中级轿车
雪铁龙凯旋,Citroen,外国,2008款,凯旋,2L,手动,精英型,2008/12/1,13.1,3.3,16.3,0.2,大于或等于10万,中级轿车
雪铁龙凯旋,Citroen,外国,2008款,凯旋,2L,手动,精英型,2008/12/1,13.1,3.3,16.3,0.2,大于或等于10万,中级轿车
比亚迪F6,BYD,外国,2010款,,2L,手动,黄金版 尊贵型,2010/8/1,13.2,3,11.9,0.25,大于或等于10万,中级轿车
宝马X1,BMW,外国,2013款,X1 sDrive18i,2L,自动,时尚型,2013/4/1,13.8,17.3,30.9,0.56,大于或等于10万,中级轿车
福特全顺,Ford,外国,2006款,经典全顺,2.8T,手动,短轴中顶普通型10-12座柴油,2014/7/1,2.2,11,15.6,0.71,小于10万,中级轿车
福特全顺,Ford,外国,2006款,经典全顺,2.8T,手动,短轴中顶普通型10-12座柴油,2014/7/1,2.2,11,15.6,0.71,小于10万,中级轿车
福特全顺,Ford,外国,2006款,经典全顺,2.8T,手动,长轴中顶物流版10-15座柴油,2014/3/1,3.1,12.5,17.5,0.71,小于10万,中级轿车
凯迪拉克赛威SLS,Cadillac,外国,2008款,,2.8L,自动,精英型,2009/7/1,10.5,15.5,48.6,0.32,大于或等于10万,中级轿车
奥迪A7,Audi,外国,2014款,A7 Sportback,2.8FSI,双离合,35FSI 技术型(进口),2014/11/1,2.1,48,79,0.61,小于10万,中级轿车
奥迪A7,Audi,外国,2014款,A7 Sportback,2.8FSI,双离合,35FSI Quattro 技术型(进口),2014/11/1,2.1,48,79,0.61,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.8FSI,双离合,35FSI Quattro豪华型,2013/6/1,5.2,36.5,72.7,0.5,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.8FSI,无级,35FSI舒适型,2013/10/1,5.6,36,59.9,0.6,小于10万,中级轿车
金杯大海狮L,金杯,中国,2013款,,2.7L,手动,领航版旗舰型,2013/12/1,0.8,14.5,21.7,0.67,小于10万,中级轿车
保时捷博克斯特,Porsche,外国,2013款,,2.7L,双离合,（进口）,2013/1/1,1.1,58,78.8,0.74,小于10万,中级轿车
保时捷卡曼,Porsche,外国,2013款,卡曼,2.7L,双离合,(进口),2014/1/1,1.4,60,78.9,0.76,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2013款,汉兰达,2.7L,自动,紫金版7座,2015/1/1,3.6,24.8,35.7,0.69,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2013款,汉兰达,2.7L,自动,紫金版7座,2015/1/1,3.6,24.8,35.7,0.69,小于10万,中级轿车
保时捷博克斯特,Porsche,外国,2013款,博克斯特,2.7L,双离合,(进口),2013/7/1,3.8,59,78.8,0.75,小于10万,中级轿车
雷克萨斯RX,Lexus,外国,2012款,RX270,2.7L,自动,豪华版(进口),2012/5/1,4.5,34,62.2,0.55,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2013款,汉兰达,2.7L,自动,紫金版7座,2014/6/1,4.5,26.8,35.7,0.75,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2013款,汉兰达,2.7L,自动,紫金版7座,2014/6/1,4.5,26.8,35.7,0.75,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2012款,汉兰达,2.7L,自动,两驱5座运动版,2012/10/1,6,19.4,30.3,0.64,小于10万,中级轿车
道奇酷威,Dodge,外国,2010款,,2.7L,自动,(进口),2010/12/1,7,15.9,32.6,0.49,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2011款,汉兰达,2.7L,自动,两驱5座精英版,2012/1/1,7.3,17,27,0.63,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2011款,汉兰达,2.7L,自动,两驱5座精英版,2012/1/1,7.3,17,27,0.63,小于10万,中级轿车
道奇酷威,Dodge,外国,2011款,,2.7L,自动,豪华导航版(进口),2011/6/1,8.3,14.6,32.6,0.45,小于10万,中级轿车
道奇酷威,Dodge,外国,2011款,,2.7L,自动,豪华导航版(进口),2011/6/1,8.3,14.6,32.6,0.45,小于10万,中级轿车
现代新胜达,Hyundai,外国,2009款,,2.7L,自动,豪华型(进口),2009/11/1,9,9.8,32.5,0.3,小于10万,中级轿车
现代新胜达,Hyundai,外国,2009款,,2.7L,自动,豪华型(进口),2009/11/1,9,9.8,32.5,0.3,小于10万,中级轿车
丰田汉兰达,Toyota,外国,2012款,汉兰达,2.7L,自动,两驱5座精英版,2013/6/1,10.3,17.7,27,0.66,大于或等于10万,中级轿车
丰田汉兰达,Toyota,外国,2012款,汉兰达,2.7L,自动,两驱5座精英版,2013/6/1,10.3,17.7,27,0.66,大于或等于10万,中级轿车
现代新胜达,Hyundai,外国,2009款,,2.7L,自动,豪华型(进口),2009/9/1,10.9,13.8,32.5,0.42,大于或等于10万,中级轿车
丰田汉兰达,Toyota,外国,2009款,汉兰达,2.7L,自动,两驱7座精英版,2010/10/1,10.9,15.3,28.5,0.54,大于或等于10万,中级轿车
起亚威客,Kia,外国,2010款,,2.7L,自动,7座舒适版(进口),2012/2/1,12.2,13.3,29.9,0.44,大于或等于10万,中级轿车
斯巴鲁森林人,Subaru,外国,2008款,,2.5XT,自动,豪华版(进口),2009/11/1,8,14.5,36.9,0.39,小于10万,中级轿车
斯巴鲁森林人,Subaru,外国,2012款,,2.5XS,自动,15周款 豪华版(进口),2013/5/1,3.7,18,30.2,0.6,小于10万,中级轿车
斯巴鲁森林人,Subaru,外国,2012款,,2.5XS,自动,15周款豪华版(进口),2013/5/1,3.7,18,30.2,0.6,小于10万,中级轿车
斯巴鲁森林人,Subaru,外国,2009款,,2.5XS,自动,豪华版(进口),2009/4/1,14.8,11,29.3,0.38,大于或等于10万,中级轿车
斯巴鲁森林人,Subaru,外国,2009款,,2.5XS,自动,豪华版(进口),2009/4/1,14.8,11,29.3,0.38,大于或等于10万,中级轿车
丰田锐志,Toyota,外国,2010款,锐志,2.5V,自动,风度菁英版,2011/11/1,7.1,14,24.9,0.56,小于10万,中级轿车
沃尔沃XC90,Volvo,外国,2014款,,2.5T,自动,T5 豪华版,2014/11/1,4.9,35,59.6,0.59,小于10万,中级轿车
沃尔沃XC90,Volvo,外国,2014款,,2.5T,自动,T5豪华版,2014/11/1,4.9,35,59.6,0.59,小于10万,中级轿车
沃尔沃S80L,Volvo,外国,2009款,,2.5T,自动,智雅版,2009/10/1,12.9,14.6,46.7,0.31,大于或等于10万,中级轿车
丰田锐志,Toyota,外国,2008款,锐志,2.5S,自动,特别纪念版,2009/1/1,12,9.5,26.1,0.36,大于或等于10万,中级轿车
丰田锐志,Toyota,外国,2009款,锐志,2.5S,自动,舒适版,2009/11/1,12.6,10,24.8,0.4,大于或等于10万,中级轿车
丰田锐志,Toyota,外国,2009款,锐志,2.5S,自动,舒适版,2009/11/1,12.6,10,24.8,0.4,大于或等于10万,中级轿车
日产天籁,Nissan,外国,2015款,,2.5L,无级,XL Upper 欧冠科技版,2015/6/1,1.5,18.2,23.2,0.78,小于10万,中级轿车
日产天籁,Nissan,外国,2015款,,2.5L,无级,XL Upper 欧冠科技版,2015/6/1,1.5,18.2,23.2,0.78,小于10万,中级轿车
雷诺科雷傲,Renualt,外国,2012款,科雷傲,2.5L,无级,四驱豪华导航版(进口),2013/2/1,1.7,19,32.2,0.59,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2013款,凯美瑞,2.5L,自动,G舒适版,2014/10/1,2.2,16.8,22.8,0.74,小于10万,中级轿车
宝马3系,BMW,外国,2011款,325i敞篷轿跑车,2.5L,自动,(进口),2010/8/1,2.3,35,70,0.5,小于10万,中级轿车
雷克萨斯GS,Lexus,外国,2014款,GS250,2.5L,自动,F-Sport(进口),2013/12/1,2.5,32.5,60.8,0.53,小于10万,中级轿车
雷克萨斯GS,Lexus,外国,2014款,GS250,2.5L,自动,F-Sport(进口),2013/12/1,2.5,32.5,60.8,0.53,小于10万,中级轿车
雷克萨斯GS,Lexus,外国,2014款,GS250,2.5L,自动,F-Sport(进口),2013/12/1,2.5,32.5,60.8,0.53,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XV 旗舰版,2012/9/1,3.1,15,28.1,0.53,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XV 旗舰版,2012/9/1,3.1,15,28.1,0.53,小于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2014/5/1,3.1,24,40.8,0.59,小于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2014/5/1,3.1,24,40.8,0.59,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XL豪华版,2014/1/1,3.6,19,26,0.73,小于10万,中级轿车
雷克萨斯ES,Lexus,外国,2013款,ES250,2.5L,自动,精英版(进口),2014/1/1,3.7,24,39,0.62,小于10万,中级轿车
雷克萨斯ES,Lexus,外国,2013款,ES250,2.5L,自动,精英版(进口),2014/1/1,3.7,24,39,0.62,小于10万,中级轿车
马自达睿翼,Mazda,外国,2009款,睿翼,2.5L,自动,至尊版,2010/6/1,4.1,10.3,24.9,0.41,小于10万,中级轿车
马自达睿翼,Mazda,外国,2009款,睿翼,2.5L,自动,至尊版,2010/6/1,4.1,10.3,24.9,0.41,小于10万,中级轿车
宝马5系,BMW,外国,2011款,523i,2.5L,自动,领先型(进口),2011/8/1,4.5,35,53.5,0.65,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2012款,凯美瑞,2.5L,自动,G Navi 豪华导航版,2012/6/1,4.6,14,24.5,0.57,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XL 豪华版,2013/8/1,4.7,15.6,26,0.6,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XL 豪华版,2013/8/1,4.7,15.6,26,0.6,小于10万,中级轿车
宝马5系,BMW,外国,2011款,520Li,2.5L,自动,典雅型,2011/10/1,5.2,25,45.4,0.55,小于10万,中级轿车
宝马3系,BMW,外国,2011款,325i,2.5L,自动,豪华型,2011/12/1,5.4,20.5,48.3,0.42,小于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2012/12/1,5.5,20,40.8,0.49,小于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2012/12/1,5.5,20,40.8,0.49,小于10万,中级轿车
雷克萨斯IS,Lexus,外国,2011款,IS250,2.5L,自动,运动版(进口),2013/1/1,5.6,22.01,40.1,0.55,小于10万,中级轿车
丰田皇冠,Toyota,外国,2010款,皇冠,2.5L,自动,Royal 天窗导航版,2012/7/1,5.7,20,40.4,0.5,小于10万,中级轿车
丰田皇冠,Toyota,外国,2010款,皇冠,2.5L,自动,Royal 天窗导航版,2012/7/1,5.7,20,40.4,0.5,小于10万,中级轿车
日产奇骏,Nissan,外国,2012款,奇骏,2.5L,无级,XL豪华版,2014/3/1,5.8,18,26,0.69,小于10万,中级轿车
日产奇骏,Nissan,外国,2010款,奇骏,2.5L,无级,XL豪华版,2010/11/1,6,11.3,26,0.43,小于10万,中级轿车
宝马5系,BMW,外国,2012款,523Li,2.5L,自动,豪华型,2012/9/1,6.1,31.5,53.7,0.59,小于10万,中级轿车
宝马5系,BMW,外国,2012款,523Li,2.5L,自动,豪华型,2012/9/1,6.1,31.5,53.7,0.59,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2.5L,无级,XL NAVI-Tec,2013/6/1,6.5,14.7,24.2,0.61,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2.5L,无级,XL NAVI-Tec,2013/6/1,6.5,14.7,24.2,0.61,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2.5L,无级,XLNAVI-Tec,2013/6/1,6.5,14.7,24.2,0.61,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2.5L,无级,XLNAVI-Tec,2013/6/1,6.5,14.7,24.2,0.61,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2.5L,无级,XL领先型,2013/11/1,6.5,15,22.3,0.67,小于10万,中级轿车
马自达睿翼,Mazda,外国,2009款,睿翼,2.5L,自动,至尊版,2010/8/1,6.6,11,24.9,0.44,小于10万,中级轿车
宝马5系,BMW,外国,2011款,523Li,2.5L,自动,豪华型,2011/6/1,6.8,26.5,53.1,0.5,小于10万,中级轿车
奔驰E级,Benz,外国,2008款,E230,2.5L,自动,时尚型,2009/4/1,7.3,19.8,59.5,0.33,小于10万,中级轿车
丰田皇冠,Toyota,外国,2011款,皇冠,2.5L,自动,Royal真皮天窗特别版,2011/3/1,7.3,18,37.4,0.48,小于10万,中级轿车
奔驰唯雅诺,Benz,外国,2011款,唯雅诺,2.5L,自动,尊贵版,2010/11/1,7.7,20,50.9,0.39,小于10万,中级轿车
宝马5系,BMW,外国,2011款,520Li,2.5L,自动,典雅型,2011/4/1,8.4,25,45.4,0.55,小于10万,中级轿车
宝马5系,BMW,外国,2011款,520Li,2.5L,自动,典雅型,2011/4/1,8.4,25,45.4,0.55,小于10万,中级轿车
马自达8,Mazda,外国,2013款,8,2.5L,自动,尊贵版,2013/1/1,9.8,15,25.6,0.59,小于10万,中级轿车
马自达8,Mazda,外国,2013款,8,2.5L,自动,尊贵版,2013/1/1,9.8,15,25.6,0.59,小于10万,中级轿车
日产天籁,Nissan,外国,2011款,天籁,2.5L,无级,XL领先版,2011/6/1,9.9,13.9,24.4,0.57,小于10万,中级轿车
奔驰C级,Benz,外国,2008款,C230,2.5L,自动,时尚型,2008/7/1,10.2,15,46.5,0.32,大于或等于10万,中级轿车
日产奇骏,Nissan,外国,2010款,奇骏,2.5L,无级,XL豪华版,2010/3/1,10.2,13,26,0.5,大于或等于10万,中级轿车
日产奇骏,Nissan,外国,2010款,奇骏,2.5L,无级,XL豪华版,2011/8/1,10.3,12.5,26,0.48,大于或等于10万,中级轿车
丰田皇冠,Toyota,外国,2009款,皇冠,2.5L,自动,Royal 特别强化版,2009/8/1,10.4,14,35.6,0.39,大于或等于10万,中级轿车
丰田皇冠,Toyota,外国,2009款,皇冠,2.5L,自动,Royal特别强化版,2009/8/1,10.4,14,35.6,0.39,大于或等于10万,中级轿车
日产天籁,Nissan,外国,2011款,天籁·公爵,2.5L,无级,XV尊雅版,2011/2/1,11,13,28.7,0.45,大于或等于10万,中级轿车
宝马X3,BMW,外国,2009款,X3 xDrive20i,2.5L,自动,豪华增配型(进口),2010/8/1,11.7,20,63.1,0.32,大于或等于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2012/10/1,11.7,19.8,40.8,0.49,大于或等于10万,中级轿车
英菲尼迪G25-三厢,Infinity,外国,2013款,,2.5L,自动,豪华运动版(进口),2012/10/1,11.7,19.8,40.8,0.49,大于或等于10万,中级轿车
荣威750E,荣威,中国,2008款,,2.5L,自动,贵雅版,2008/11/1,12,8,25.2,0.32,大于或等于10万,中级轿车
日产奇骏,Nissan,外国,2010款,奇骏,2.5L,无级,XV旗舰版,2010/6/1,12,11.8,28.1,0.42,大于或等于10万,中级轿车
日产天籁,Nissan,外国,2008款,天籁,2.5L,无级,XL 领先版,2009/7/1,13.2,9,24.4,0.37,大于或等于10万,中级轿车
日产天籁,Nissan,外国,2008款,天籁,2.5L,无级,XL领先版,2009/7/1,13.2,9,24.4,0.37,大于或等于10万,中级轿车
宝马5系,BMW,外国,2012款,520Li,2.5L,自动,典雅型,2012/3/1,13.6,25.5,46.5,0.55,大于或等于10万,中级轿车
雷诺科雷傲,Renualt,外国,2009款,科雷傲,2.5L,无级,两驱舒适版(进口),2009/12/1,14.1,9.1,26.9,0.34,大于或等于10万,中级轿车
雷诺科雷傲,Renualt,外国,2009款,科雷傲,2.5L,无级,两驱舒适版(进口),2009/12/1,14.1,9.1,26.9,0.34,大于或等于10万,中级轿车
丰田皇冠,Toyota,外国,2010款,皇冠,2.5L,自动,Royal真皮版,2011/7/1,14.1,18,36.6,0.49,大于或等于10万,中级轿车
宝马5系,BMW,外国,2008款,523Li,2.5L,自动,豪华型,2009/1/1,14.4,14.7,56.6,0.26,大于或等于10万,中级轿车
宝马5系,BMW,外国,2008款,523Li,2.5L,自动,豪华型,2009/1/1,14.4,14.7,56.6,0.26,大于或等于10万,中级轿车
宝马3系,BMW,外国,2010款,325i,2.5L,自动,时尚型,2010/11/1,14.7,15.3,44.3,0.35,大于或等于10万,中级轿车
宝马3系,BMW,外国,2010款,325i,2.5L,自动,时尚型,2010/11/1,14.7,15.3,44.3,0.35,大于或等于10万,中级轿车
斯巴鲁傲虎,Subaru,外国,2015款,,2.5i,无级,豪华导航版（进口）,2015/4/1,3,26,33.3,0.78,小于10万,中级轿车
斯巴鲁傲虎,Subaru,外国,2015款,,2.5i,无级,豪华导航版（进口）,2015/4/1,3,26,33.3,0.78,小于10万,中级轿车
斯巴鲁傲虎,Subaru,外国,2014款,,2.5i,无级,雅尚运动版(进口),2014/11/1,4.7,25,33.2,0.75,小于10万,中级轿车
斯巴鲁力狮,Subaru,外国,2010款,,2.5i,无级,豪华版(进口),2011/6/1,4.8,13.9,29.8,0.47,小于10万,中级轿车
斯巴鲁力狮,Subaru,外国,2010款,,2.5i,无级,豪华导航版(进口),2010/1/1,11.9,13,32,0.41,大于或等于10万,中级轿车
奥迪A6L,Audi,外国,2014款,A6L,2.5FSI,无级,30FSI 豪华型,2014/4/1,1.7,32.8,55,0.6,小于10万,中级轿车
奥迪A6L,Audi,外国,2014款,A6L,2.5FSI,无级,30FSI 豪华型,2014/4/1,1.7,32.8,55,0.6,小于10万,中级轿车
奥迪A6L,Audi,外国,2015款,A6L,2.5FSI,无级,30FSI百万纪念舒享型,2015/10/1,2.8,41,48.8,0.84,小于10万,中级轿车
奥迪A6L,Audi,外国,2014款,A6L,2.5FSI,无级,30FSI 技术型,2015/5/1,3.1,34,46.6,0.73,小于10万,中级轿车
奥迪A6L,Audi,外国,2014款,A6L,2.5FSI,无级,30FSI技术型,2015/5/1,3.1,34,46.6,0.73,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,,2.5FSI,无级,30FSI舒适型,2012/9/1,5.2,27.5,51.3,0.54,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012/7/1,6,28.9,47,0.61,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012/7/1,6,28.9,47,0.61,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012/8/1,6.7,27,47,0.57,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012/8/1,6.7,27,47,0.57,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013/12/1,7,29.5,47,0.63,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013/12/1,7,29.5,47,0.63,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013/7/1,8.3,28.2,47,0.6,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013/7/1,8.3,28.2,47,0.6,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 舒适型,2013/10/1,8.5,31,51.3,0.6,小于10万,中级轿车
奥迪A6L,Audi,外国,2012款,A6L,2.5FSI,无级,30FSI 舒适型,2013/10/1,8.5,31,51.3,0.6,小于10万,中级轿车
福特全顺,Ford,外国,2007款,经典全顺,2.4T,手动,长轴中顶普通型10-15座柴油,2013/6/1,6,16,21.8,0.73,小于10万,中级轿车
别克君越,Buick,外国,2013款,,2.4SIDI,自动,豪华舒适型,2016/1/1,1.5,21,29.9,0.7,小于10万,中级轿车
别克君越,Buick,外国,2013款,,2.4SIDI,自动,精英舒适型,2014/4/1,2.7,17.5,27.8,0.63,小于10万,中级轿车
别克君越,Buick,外国,2013款,,2.4SIDI,自动,精英舒适型,2014/4/1,2.7,17.5,27.8,0.63,小于10万,中级轿车
别克君越,Buick,外国,2011款,,2.4SIDI,自动,雅致版,2011/9/1,3.2,14.5,25.5,0.57,小于10万,中级轿车
别克君越,Buick,外国,2011款,,2.4SIDI,自动,雅致版,2011/9/1,3.2,14.5,25.5,0.57,小于10万,中级轿车
别克君越,Buick,外国,2013款,,2.4SIDI,自动,豪华舒适型,2014/5/1,4,17.4,29.9,0.58,小于10万,中级轿车
别克君越,Buick,外国,2013款,,2.4SIDI,自动,豪华舒适型,2014/5/1,4,17.4,29.9,0.58,小于10万,中级轿车
别克君越,Buick,外国,2012款,,2.4SIDI,自动,豪华版,2013/4/1,11.1,15,29.9,0.5,大于或等于10万,中级轿车
别克君越,Buick,外国,2012款,,2.4SIDI,自动,豪华版,2013/4/1,11.1,15,29.9,0.5,大于或等于10万,中级轿车
吉利博瑞,吉利,中国,2015款,,2.4L,自动,舒适型,2016/7/1,0.6,12.68,14.1,0.9,小于10万,中级轿车
雪佛兰科帕奇,Chevrolet,外国,2015款,,2.4L,自动,四驱旗舰版7座,2015/9/1,0.9,18.19,22.8,0.8,小于10万,中级轿车
现代新胜达,Hyundai,外国,2013款,,2.4L,自动,GLS 四驱智能型5座,2014/10/1,1.9,20.5,28.2,0.73,小于10万,中级轿车
